NUM_PASAJEROS;ANIO;MES;DIA;ZONA_FNC_GROUP_2;EsEscolar;EsFestivo
3029;2018;4;10;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
30690;2018;4;11;ENCOMIENDA USC-AYTO.SC;1;0
3059;2018;4;11;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
598;2018;4;11;CONVENIOS CABILDO-AYTOS.;1;0
88243;2018;4;11;CPI-CABILDO;1;0
30849;2018;4;12;ENCOMIENDA USC-AYTO.SC;1;0
623;2018;4;12;CONVENIOS CABILDO-AYTOS.;1;0
2845;2018;4;12;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
88836;2018;4;12;CPI-CABILDO;1;0
29980;2018;4;13;ENCOMIENDA USC-AYTO.SC;1;0
2795;2018;4;13;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
563;2018;4;13;CONVENIOS CABILDO-AYTOS.;1;0
91408;2018;4;13;CPI-CABILDO;1;0
58856;2018;4;14;CPI-CABILDO;1;0
786;2018;4;14;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
15240;2018;4;14;ENCOMIENDA USC-AYTO.SC;1;0
163;2018;4;14;CONVENIOS CABILDO-AYTOS.;1;0
45875;2018;4;15;CPI-CABILDO;1;0
97;2018;4;15;CONVENIOS CABILDO-AYTOS.;1;0
512;2018;4;15;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
10950;2018;4;15;ENCOMIENDA USC-AYTO.SC;1;0
89968;2018;4;16;CPI-CABILDO;1;0
2901;2018;4;16;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
31340;2018;4;16;ENCOMIENDA USC-AYTO.SC;1;0
